Sample description: 
Sample:   c= 2.9 mg/ml  Code: LipH_dTMDdVD_Tris
Parent(s): analysis/processed/subtracted/LipH_dTMDdVD_Tris_0019_sub.dat
 1.299450e+000  1.645331e-003  7.196176e-005
 1.302230e+000  1.444166e-003  7.113690e-005
 1.305020e+000  1.560538e-003  7.124859e-005
 1.307800e+000  1.319210e-003  7.100321e-005
 1.310580e+000  1.291810e-003  7.126697e-005
 1.313370e+000  1.493717e-003  7.105497e-005
 1.316150e+000  1.495228e-003  7.056976e-005
 1.318940e+000  1.538776e-003  7.076783e-005
 1.321720e+000  1.485686e-003  7.079845e-005
 1.324500e+000  1.379021e-003  7.066466e-005
 1.327290e+000  1.448800e-003  7.052097e-005
 1.330070e+000  1.472062e-003  7.030307e-005
 1.332850e+000  1.436759e-003  7.028193e-005
 1.335640e+000  1.381628e-003  7.028586e-005
 1.338420e+000  1.379693e-003  6.982672e-005
 1.341200e+000  1.223776e-003  6.966941e-005
 1.343990e+000  1.322524e-003  6.968000e-005
 1.346770e+000  1.217859e-003  6.978831e-005
 1.349550e+000  1.383662e-003  6.981441e-005
 1.352340e+000  1.362441e-003  6.959659e-005
 1.355120e+000  1.318700e-003  6.936638e-005
 1.357900e+000  1.229514e-003  6.926821e-005
 1.360690e+000  1.316079e-003  6.924417e-005
 1.363470e+000  1.226093e-003  6.890848e-005
 1.366260e+000  1.359379e-003  6.921921e-005
 1.369040e+000  1.365286e-003  6.904228e-005
 1.371820e+000  1.341728e-003  6.885810e-005
 1.374610e+000  1.376031e-003  6.890200e-005
 1.377390e+000  1.386817e-003  6.893917e-005
 1.380170e+000  1.247741e-003  6.869538e-005
 1.382960e+000  1.273738e-003  6.875562e-005
 1.385740e+000  1.321979e-003  6.822141e-005
 1.388520e+000  1.418934e-003  6.850548e-005
 1.391310e+000  1.232007e-003  6.839024e-005
 1.394090e+000  1.198262e-003  6.842538e-005
 1.396870e+000  1.273679e-003  6.800069e-005
 1.399660e+000  1.147917e-003  6.778231e-005
 1.402440e+000  1.181755e-003  6.780724e-005
 1.405220e+000  1.293483e-003  6.790086e-005
 1.408010e+000  1.209934e-003  6.766014e-005
 1.410790e+000  1.284755e-003  6.789483e-005
 1.413580e+000  1.203428e-003  6.728931e-005
 1.416360e+000  1.051966e-003  6.746455e-005
 1.419140e+000  1.275603e-003  6.735379e-005
 1.421930e+000  1.115855e-003  6.719034e-005
 1.424710e+000  1.193121e-003  6.701397e-005
 1.427490e+000  1.076438e-003  6.746510e-005
 1.430280e+000  1.020279e-003  6.686876e-005
 1.433060e+000  1.242921e-003  6.677217e-005
 1.435840e+000  1.055186e-003  6.660983e-005
 1.438630e+000  1.215400e-003  6.659283e-005
 1.441410e+000  1.059631e-003  6.693228e-005
 1.444190e+000  1.079217e-003  6.612241e-005
 1.446980e+000  1.336666e-003  6.695569e-005
 1.449760e+000  1.059652e-003  6.604338e-005
 1.452550e+000  1.097383e-003  6.657524e-005
 1.455330e+000  1.142900e-003  6.651455e-005
 1.458110e+000  1.112421e-003  6.575497e-005
 1.460900e+000  1.049762e-003  6.640359e-005
 1.463680e+000  1.143855e-003  6.615210e-005
 1.466460e+000  1.021745e-003  6.585862e-005
 1.469250e+000  1.081714e-003  6.586683e-005
 1.472030e+000  1.148586e-003  6.554445e-005
 1.474810e+000  1.039393e-003  6.616541e-005
 1.477600e+000  9.141517e-004  6.528762e-005
 1.480380e+000  1.037283e-003  6.515614e-005
 1.483160e+000  1.106355e-003  6.545241e-005
 1.485950e+000  1.102128e-003  6.545169e-005
 1.488730e+000  1.047617e-003  6.550479e-005
 1.491510e+000  1.054890e-003  6.516210e-005
 1.494300e+000  9.710931e-004  6.516376e-005
 1.497080e+000  1.029410e-003  6.514734e-005
 1.499870e+000  1.096562e-003  6.510417e-005
 1.502650e+000  1.057476e-003  6.509897e-005
 1.505430e+000  1.142390e-003  6.488800e-005
 1.508220e+000  1.023293e-003  6.496483e-005
 1.511000e+000  1.024152e-003  6.484845e-005
 1.513780e+000  1.049834e-003  6.459145e-005
 1.516570e+000  1.088848e-003  6.458910e-005
 1.519350e+000  1.048176e-003  6.445297e-005
 1.522130e+000  9.033483e-004  6.588159e-005
 1.524920e+000  9.921552e-004  6.622862e-005
 1.527700e+000  1.009476e-003  6.648976e-005
 1.530480e+000  8.104931e-004  6.675583e-005
 1.533270e+000  9.814172e-004  6.696797e-005
 1.536050e+000  8.654103e-004  6.763097e-005
 1.538830e+000  9.157207e-004  6.766234e-005
 1.541620e+000  8.537621e-004  6.787397e-005
 1.544400e+000  9.415931e-004  6.786228e-005
 1.547190e+000  9.569966e-004  6.813928e-005
 1.549970e+000  9.060793e-004  6.842710e-005
